task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
75	cc/e228fc	13046881	demuxlet (10)	COMPLETED	0	2021-08-04 21:15:06.742	2h 57m 10s	1h 51m 26s	99.5%	2 GB	2.1 GB	3 GB	2.1 MB
98	2f/ab6e29	13046963	demuxlet (33)	COMPLETED	0	2021-08-04 21:40:01.834	2h 32m 25s	58m 54s	99.5%	1.7 GB	1.9 GB	2.4 GB	2.2 MB
73	f7/ef2c0d	13046877	demuxlet (8)	COMPLETED	0	2021-08-04 21:12:01.822	3h 2m 30s	1h 53m 40s	99.5%	2 GB	2.1 GB	3 GB	2.4 MB
72	60/635147	13046874	demuxlet (7)	COMPLETED	0	2021-08-04 21:10:21.749	3h 6m 5s	1h 55m 54s	99.7%	2.1 GB	2.2 GB	3.1 GB	2.4 MB
77	0a/4ad5d2	13046886	demuxlet (12)	COMPLETED	0	2021-08-04 21:18:51.761	3h 3m 25s	2h 1m 22s	99.7%	2.1 GB	2.2 GB	3.2 GB	2.1 MB
74	6c/c17e29	13046879	demuxlet (9)	COMPLETED	0	2021-08-04 21:14:41.742	3h 10m 15s	2h 4m 7s	99.5%	2.1 GB	2.2 GB	3.1 GB	2.4 MB
76	11/253fa5	13046882	demuxlet (11)	COMPLETED	0	2021-08-04 21:15:16.755	3h 10m 5s	2h 4m 32s	99.6%	2.1 GB	2.2 GB	3.2 GB	2.4 MB
78	d7/92312f	13046888	demuxlet (13)	COMPLETED	0	2021-08-04 21:19:41.759	3h 8m 40s	1h 55m 3s	99.6%	2 GB	2.2 GB	3.1 GB	2.1 MB
83	65/aa746b	13046901	demuxlet (18)	COMPLETED	0	2021-08-04 21:24:21.775	3h 5m 25s	1h 55m 30s	99.6%	2 GB	2.2 GB	3.1 GB	2.1 MB
80	55/4d0787	13046894	demuxlet (15)	COMPLETED	0	2021-08-04 21:21:46.794	3h 9m 50s	1h 57m 19s	99.6%	2 GB	2.2 GB	3.1 GB	2.1 MB
103	6b/4edca3	13047003	demuxlet (38)	COMPLETED	0	2021-08-04 22:01:56.948	2h 35m 35s	1h 5m 31s	99.2%	1.8 GB	1.9 GB	2.5 GB	2.2 MB
104	d0/16a863	13047005	demuxlet (39)	COMPLETED	0	2021-08-04 22:03:27.048	2h 34m 55s	58m 37s	99.5%	1.8 GB	1.9 GB	2.4 GB	2.2 MB
85	8c/4bf298	13046904	demuxlet (20)	COMPLETED	0	2021-08-04 21:25:46.764	3h 15m 50s	2h 7m 22s	99.7%	2.1 GB	2.2 GB	3.3 GB	2.1 MB
105	26/022f5e	13047006	demuxlet (40)	COMPLETED	0	2021-08-04 22:03:51.931	2h 39m 45s	1h 3m 51s	99.5%	1.7 GB	1.8 GB	2.5 GB	2.2 MB
106	2c/3424a9	13047007	demuxlet (41)	COMPLETED	0	2021-08-04 22:04:16.930	2h 43m 25s	1h 6m 26s	99.5%	1.7 GB	1.9 GB	2.5 GB	2.2 MB
97	c1/b76b01	13046962	demuxlet (32)	COMPLETED	0	2021-08-04 21:40:01.802	3h 28m 40s	1h 56m 4s	99.7%	2 GB	2.2 GB	3.1 GB	2.4 MB
107	2e/688873	13047011	demuxlet (42)	COMPLETED	0	2021-08-04 22:07:21.974	3h 4m 25s	1h 15s	99.5%	1.7 GB	1.8 GB	2.4 GB	2.2 MB
99	f3/2348fd	13046965	demuxlet (34)	COMPLETED	0	2021-08-04 21:40:36.801	3h 32m 50s	1h 56m 26s	99.7%	2 GB	2.2 GB	3.1 GB	2.4 MB
111	7d/ab470a	13047016	demuxlet (46)	COMPLETED	0	2021-08-04 22:10:36.940	3h 2m 50s	58m 55s	99.5%	1.7 GB	1.8 GB	2.4 GB	2.2 MB
108	73/2a07ab	13047012	demuxlet (43)	COMPLETED	0	2021-08-04 22:07:36.873	3h 5m 55s	1h 1m 12s	99.6%	1.7 GB	1.8 GB	2.4 GB	2.2 MB
100	f5/7dc53f	13046967	demuxlet (35)	COMPLETED	0	2021-08-04 21:40:51.794	3h 33m 36s	1h 56m 12s	99.7%	2.1 GB	2.2 GB	3.2 GB	2.4 MB
110	e5/f32664	13047015	demuxlet (45)	COMPLETED	0	2021-08-04 22:10:36.916	3h 4m 55s	1h 2m 12s	99.5%	1.8 GB	1.9 GB	2.5 GB	2.2 MB
96	31/73591e	13046961	demuxlet (31)	COMPLETED	0	2021-08-04 21:39:46.800	3h 37m 20s	2h 5m 8s	99.7%	2.1 GB	2.2 GB	3.2 GB	2.4 MB
109	42/f7899a	13047014	demuxlet (44)	COMPLETED	0	2021-08-04 22:09:36.873	3h 10m 25s	1h 7m 33s	99.5%	1.8 GB	1.9 GB	2.6 GB	2.2 MB
102	91/7b481c	13046969	demuxlet (37)	COMPLETED	0	2021-08-04 21:42:31.810	3h 44m 45s	2h 3m 15s	99.7%	2.1 GB	2.2 GB	3.2 GB	2.4 MB
101	ef/ea80dc	13046968	demuxlet (36)	COMPLETED	0	2021-08-04 21:41:11.810	3h 53m 35s	2h 13m 43s	99.6%	2.1 GB	2.2 GB	3.3 GB	2.4 MB
112	42/9750b9	13047027	demuxlet (47)	COMPLETED	0	2021-08-04 22:13:21.888	3h 34m 45s	1h 31m 43s	99.7%	1.9 GB	2.1 GB	2.9 GB	2.2 MB
68	e6/b43638	13046864	demuxlet (3)	COMPLETED	0	2021-08-04 21:04:56.750	4h 52m 25s	3h 36m 48s	99.8%	2.6 GB	2.7 GB	4.2 GB	2.5 MB
115	80/8217d6	13047038	demuxlet (50)	COMPLETED	0	2021-08-04 22:18:56.898	3h 42m 25s	1h 35m 57s	99.7%	2 GB	2.1 GB	3 GB	2.2 MB
113	fb/9506f0	13047031	demuxlet (48)	COMPLETED	0	2021-08-04 22:16:31.948	3h 45m 50s	1h 40m 4s	99.6%	2 GB	2.1 GB	3 GB	2.2 MB
70	a7/e2c574	13046868	demuxlet (5)	COMPLETED	0	2021-08-04 21:05:41.728	4h 58m 5s	3h 43m 16s	99.6%	2.6 GB	2.7 GB	4.2 GB	2.4 MB
69	1a/77348a	13046867	demuxlet (4)	COMPLETED	0	2021-08-04 21:05:36.728	4h 59m 20s	3h 44m 27s	99.8%	2.6 GB	2.8 GB	4.3 GB	2.5 MB
114	c1/49bfab	13047035	demuxlet (49)	COMPLETED	0	2021-08-04 22:17:36.891	4h 3m 5s	1h 55m 45s	99.8%	2.1 GB	2.2 GB	3.2 GB	2.2 MB
117	23/657eda	13047041	demuxlet (52)	COMPLETED	0	2021-08-04 22:20:46.890	4h 40s	1h 51m 36s	99.8%	2.1 GB	2.2 GB	3.1 GB	2.2 MB
116	bd/e9c951	13047040	demuxlet (51)	COMPLETED	0	2021-08-04 22:20:27.202	4h 1m 20s	1h 53m 19s	99.7%	2.1 GB	2.2 GB	3.1 GB	2.2 MB
71	fa/ca3ee8	13046871	demuxlet (6)	COMPLETED	0	2021-08-04 21:08:06.739	5h 16m 1s	4h 3m 36s	99.7%	2.7 GB	2.8 GB	4.4 GB	2.5 MB
119	ea/955240	13047064	demuxlet (54)	COMPLETED	0	2021-08-04 22:33:51.923	5h 59m 56s	3h 55m 54s	99.9%	2.6 GB	2.7 GB	4.5 GB	2.2 MB
121	76/379906	13047075	demuxlet (56)	COMPLETED	0	2021-08-04 22:37:56.927	6h 4m 41s	4h 59s	99.9%	2.7 GB	2.8 GB	4.6 GB	2.2 MB
118	cf/b8ad68	13047057	demuxlet (53)	COMPLETED	0	2021-08-04 22:31:26.923	6h 11m 51s	4h 11m 40s	99.9%	2.7 GB	2.8 GB	4.7 GB	2.2 MB
120	64/e95d4f	13047073	demuxlet (55)	COMPLETED	0	2021-08-04 22:37:21.923	6h 28m 31s	4h 27m 32s	99.9%	2.8 GB	2.9 GB	4.9 GB	2.2 MB
122	ad/747ffc	13047657	plot_qc	FAILED	2	2021-08-05 05:05:52.702	9.9s	5s	-	-	-	-	-
