task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1792	a8/6d8e45	13159036	ame_run_shuffle (861)	CACHED	0	2021-09-14 15:29:20.740	19.9s	3.2s	63.7%	11.8 MB	340.8 MB	568.4 KB	437.3 KB
1784	3e/8ece8c	13159031	ame_run_shuffle (856)	CACHED	0	2021-09-14 15:29:20.686	29.9s	18.3s	70.2%	14.5 MB	340.9 MB	1.3 MB	881.8 KB
1814	70/b714a3	13159061	ame_run_shuffle (885)	CACHED	0	2021-09-14 15:29:25.823	14.8s	147ms	9.2%	0	0	404.7 KB	274.2 KB
1794	d4/4e5566	13159040	ame_run_shuffle (865)	CACHED	0	2021-09-14 15:29:20.877	24.7s	9.3s	72.7%	14.8 MB	340.9 MB	1.3 MB	421.2 KB
1806	5b/53ebdf	13159055	ame_run_shuffle (878)	CACHED	0	2021-09-14 15:29:25.745	14.9s	181ms	16.5%	0	0	389.9 KB	259.1 KB
1805	9a/29c2c7	13159054	ame_run_shuffle (877)	CACHED	0	2021-09-14 15:29:25.733	14.9s	184ms	8.5%	0	0	389.7 KB	272.8 KB
1800	fe/41a0b8	13159047	ame_run_shuffle (871)	CACHED	0	2021-09-14 15:29:25.643	45s	30.1s	70.6%	17.3 MB	340.8 MB	1.4 MB	419.5 KB
1863	52/54599b	13159112	ame_run_shuffle (933)	CACHED	0	2021-09-14 15:29:40.810	19.8s	6.6s	65.7%	12.4 MB	340.8 MB	891.8 KB	1.5 MB
1825	7c/cdb0b2	13159075	ame_run_shuffle (898)	CACHED	0	2021-09-14 15:29:30.707	44.9s	30.5s	71.4%	17.1 MB	340.8 MB	1.4 MB	805.4 KB
1801	16/0d7b3a	13159048	ame_run_shuffle (872)	CACHED	0	2021-09-14 15:29:25.655	25s	11.5s	68.2%	13.6 MB	340.8 MB	861.7 KB	330 KB
1795	05/7c8814	13159041	ame_run_shuffle (866)	CACHED	0	2021-09-14 15:29:20.886	14.8s	203ms	15.6%	0	0	378.9 KB	251.3 KB
1793	35/e2169b	13159039	ame_run_shuffle (864)	CACHED	0	2021-09-14 15:29:20.866	29.7s	12.7s	69.0%	13.6 MB	340.9 MB	1 MB	434.8 KB
1830	72/b6552b	13159080	ame_run_shuffle (903)	CACHED	0	2021-09-14 15:29:35.622	10s	187ms	13.1%	0	0	383.5 KB	253.5 KB
1833	40/a7734e	13159070	ame_run_shuffle (893)	CACHED	0	2021-09-14 15:29:30.652	15s	185ms	12.7%	0	0	376.3 KB	254.7 KB
1848	a8/728ac2	13159096	ame_run_shuffle (918)	CACHED	0	2021-09-14 15:29:35.945	54.7s	39.9s	75.9%	15 MB	340.9 MB	1.5 MB	3.5 MB
1819	97/ac68c1	13159068	ame_run_shuffle (891)	CACHED	0	2021-09-14 15:29:30.632	25s	13.6s	69.1%	13.8 MB	340.9 MB	1 MB	670.6 KB
1802	78/2de3e6	13159049	ame_run_shuffle (873)	CACHED	0	2021-09-14 15:29:25.665	24.9s	12.5s	67.6%	13.7 MB	340.9 MB	1018.1 KB	341.3 KB
1796	de/995bbf	13159042	ame_run_shuffle (867)	CACHED	0	2021-09-14 15:29:20.896	14.7s	175ms	13.1%	0	0	378.6 KB	258.1 KB
1828	43/1ddb8f	13159078	ame_run_shuffle (901)	CACHED	0	2021-09-14 15:29:30.747	34.9s	17.8s	68.4%	14.5 MB	340.9 MB	1.3 MB	558 KB
1827	bb/f1e643	13159077	ame_run_shuffle (900)	CACHED	0	2021-09-14 15:29:30.735	24.9s	9.9s	70.4%	13.4 MB	340.9 MB	1015.5 KB	429.6 KB
1815	39/e21df1	13159063	ame_run_shuffle (887)	CACHED	0	2021-09-14 15:29:25.859	14.8s	159ms	14.0%	0	0	405 KB	267 KB
1824	13/f59ca0	13159074	ame_run_shuffle (897)	CACHED	0	2021-09-14 15:29:30.696	14.9s	2.9s	64.7%	11.7 MB	340.8 MB	543.7 KB	442 KB
1831	3d/cdfa63	13159082	ame_run_shuffle (904)	CACHED	0	2021-09-14 15:29:35.648	10s	168ms	11.8%	0	0	383.5 KB	252.9 KB
1799	ca/23a6fd	13159046	ame_run_shuffle (870)	CACHED	0	2021-09-14 15:29:25.631	15s	2.5s	65.8%	12 MB	340.8 MB	546.2 KB	357.4 KB
1829	84/f89293	13159079	ame_run_shuffle (902)	CACHED	0	2021-09-14 15:29:30.759	14.9s	202ms	15.4%	0	0	383.7 KB	253.2 KB
1874	95/53436a	13159124	ame_run_shuffle (944)	CACHED	0	2021-09-14 15:29:45.730	39.9s	29.2s	69.9%	14.3 MB	340.8 MB	1.2 MB	2.3 MB
1876	e8/601562	13159127	ame_run_shuffle (947)	CACHED	0	2021-09-14 15:29:45.766	14.9s	327ms	19.3%	0	0	660.5 KB	387.4 KB
1875	ee/aafbc3	13159126	ame_run_shuffle (946)	CACHED	0	2021-09-14 15:29:45.754	44.9s	31.8s	73.1%	15.2 MB	340.9 MB	1.6 MB	4.1 MB
1877	71/6770c4	13159128	ame_run_shuffle (949)	CACHED	0	2021-09-14 15:29:45.778	14.8s	282ms	22.3%	0	0	660.3 KB	379.2 KB
